EmpID,EmpName,EngDt,TermDt,DepID,GenderID,RaceID,MgrID,DOB,PayRate,Level
143,"Collingwood, Irene H",2015-07-13,,6,1,4,83,1984-03-28,,4
144,"Rasul, Jean W",2015-01-01,,8,1,2,82,1982-08-21,,4
145,"Devlin, Graham I",2015-03-05,,1,0,3,139,1970-10-05,,6
146,"Swart, Andrew R",2015-01-01,2023-06-27,9,0,5,112,1983-12-20,,3
147,"Wright, Laura R",2015-01-01,2017-01-15,4,1,5,76,1957-07-20,,3
148,"Parkes, George I",2015-12-25,,2,0,4,90,1983-03-08,,3
149,"Robinson, Colin L",2015-01-01,,8,0,4,82,1966-06-28,,4
150,"Hulme, Brigitte B",2015-04-03,,1,1,5,139,1975-05-11,,6
151,"Barrett, Kenneth A",2015-01-01,2021-06-15,7,0,2,126,1969-10-28,,4
152,"Murray, Thomas K",2015-03-12,2024-02-10,9,0,3,146,1965-05-10,,4
153,"Lovett, John C",2015-01-01,2019-08-04,7,0,2,126,1962-09-11,,4
154,"Goddard, Arthur E",2016-12-21,,7,0,4,126,1965-03-11,,4
155,"Dawber, Phyllis N",2015-01-01,2022-08-19,9,1,4,146,1978-02-20,,4
156,"Leyland, Simone I",2015-01-01,,4,1,2,147,1947-02-21,,4
157,"Geraghty, Davide M",2015-01-01,2023-04-26,4,0,1,147,1962-01-01,,4
158,"Mistry, Colin D",2015-01-01,2017-12-22,3,0,2,130,1980-01-21,,4
159,"Gibbs, Paul I",2016-02-13,2021-02-07,6,0,3,143,1957-12-12,,5
160,"Devlin, Selina E",2015-01-20,,9,1,2,146,1970-05-01,,4
161,"Turner, Bhavna S",2015-01-01,2022-12-03,2,1,4,90,1966-04-10,,3
162,"Crompton, Kay E",2015-06-16,,2,1,1,161,1968-12-04,,4
163,"Fleet, Sally O",2015-01-01,,1,1,1,139,1976-10-03,,6
164,"Murray, Simone D",2015-01-01,2018-10-12,10,1,2,117,1964-02-07,,5
165,"Jones, Venetia Z",2015-01-01,2017-04-09,5,1,2,100,1973-01-29,,3
166,"Turner, Noella J",2015-01-01,,8,1,3,82,1984-12-18,,4
167,"Wright, Andrew J",2015-01-01,2019-01-24,8,0,1,82,1968-06-29,,4
168,"Powell, Elsie J",2015-01-01,,10,1,5,117,1974-11-10,,5
169,"Parrett, Samantha K",2016-01-15,,7,1,4,126,1985-05-15,,4
170,"Roberts, Daniel X",2015-06-22,,6,0,1,143,1974-11-24,,5
171,"Kralj, Janet Z",2016-03-30,,1,1,2,139,1964-12-24,,6
172,"Green, Francis A",2015-01-01,,4,0,2,147,1972-12-08,,4
173,"Mistry, Amanda F",2015-10-27,2018-08-22,2,1,2,161,1973-12-24,,4
174,"Norman, Elisabeth Z",2015-01-01,2023-08-23,9,1,3,146,1966-06-14,,4
175,"MacMillan, Gary M",2015-01-01,2020-08-04,4,0,4,147,1967-03-31,,4
176,"Jackson, Ann G",2015-05-11,,5,1,2,165,1990-11-27,,4
177,"Andrews, Rosalie M",2015-08-27,2021-06-03,4,1,4,147,1969-03-27,,4
178,"John, Brigitte R",2015-01-01,2017-07-06,1,1,1,139,1956-02-14,,6
179,"Choi, Antony C",2015-01-01,,1,0,2,139,1976-05-22,,6
180,"Seabrook, Bevis G",2015-07-23,2022-05-19,8,0,1,82,1962-05-06,,4
181,"Watt, Jean K",2015-01-01,,8,1,2,180,1971-05-04,,5
182,"Woolley, Colin F",2015-09-02,,7,0,3,126,1951-12-31,,4
183,"Channing, Gillian X",2015-01-01,2015-06-30,7,1,3,126,1965-06-12,,4
184,"MacMillan, Kathleen C",2015-01-01,2018-06-11,6,1,4,143,1988-03-26,,5
185,"Fleet, Elisabeth E",2015-01-01,2023-04-10,7,1,5,183,1981-08-30,,5
186,"Gore, Lynnette S",2015-04-14,,1,1,2,179,1965-08-05,,7
187,"Jackson, Clare C",2015-01-01,,5,1,4,165,1961-10-31,,4
188,"Jarvis, Andrew A",2015-01-01,,4,0,3,147,1972-11-05,,4
189,"Robinson, Jean W",2015-01-01,,5,1,4,165,1974-02-04,,4
190,"Ewart, Saleha I",2015-01-01,2016-07-05,7,1,1,183,1975-10-15,,5
191,"Turner, Robert V",2015-01-01,,10,0,3,117,1971-06-01,,5
192,"Henry, Davide D",2015-08-12,2021-06-06,5,0,4,165,1979-05-03,,4
193,"Marsden, Hannah R",2015-08-09,,7,1,3,183,1976-07-10,,5
194,"Parkes, Steven F",2015-01-01,,8,0,1,180,1963-12-28,,5
195,"Mongan, Samantha H",2016-11-06,2021-11-03,5,1,3,165,1996-11-11,,4
196,"Goddard, Josie Q",2016-01-26,,4,1,1,188,1979-06-02,,5
197,"Housley, Harry U",2015-02-16,,6,0,4,143,1995-02-21,,5
198,"McCarthy, Liam O",2016-04-28,,9,0,1,146,1953-01-07,,4
199,"Gore, Elisabeth O",2015-01-01,2019-06-15,5,1,2,165,1957-04-27,,4
200,"Colley, Lesley Q",2015-01-01,,6,1,2,143,1972-07-22,,5
201,"Dawber, Michael I",2015-01-01,2015-06-06,7,0,4,183,1986-08-02,,5
202,"Robinson, Leslie N",2015-09-19,2019-07-27,3,0,3,130,1966-11-08,,4
203,"Watt, Amanda W",2016-05-19,2022-06-17,3,1,2,130,1976-10-08,,4
204,"Ranson, Rajesh H",2015-01-01,,3,0,4,130,1995-01-06,,4
205,"Simpson, Eileen L",2015-06-25,2023-07-21,4,1,2,188,1967-05-01,,5
206,"Goddard, Simone F",2015-01-01,,6,1,5,143,1980-03-10,,5
207,"King, Philip J",2015-01-01,2016-04-17,4,0,5,188,1973-12-10,,5
208,"Bennett, Lynnette U",2015-10-26,,10,1,5,117,1974-02-07,,5
209,"Jarvis, Ripduman H",2015-01-01,,10,1,5,117,1954-03-24,,5
210,"Turner, Dimitrios V",2015-01-01,2018-04-16,1,0,5,179,1976-11-04,,7
211,"Primrose, Adele D",2015-03-12,2016-04-19,2,1,5,161,1987-10-28,,4
212,"Woolley, Darren H",2015-01-01,,1,0,2,179,1981-10-05,,7
213,"Nash, Joanne B",2016-01-04,,10,1,1,209,1972-01-06,,6
214,"Nash, Paul M",2015-10-20,2016-10-11,2,0,5,161,1985-11-17,,4
215,"Nielson, Nuala K",2016-07-20,2019-08-16,10,1,4,209,1987-07-31,,6
216,"King, Kevin X",2016-07-20,,10,0,3,209,1996-07-25,,6
217,"Lewis, Kay W",2016-08-14,2020-10-16,8,1,3,180,1968-09-07,,5
218,"Gorton, Dimitrios J",2015-01-01,,3,0,3,204,1976-01-15,,5
219,"Coppin, Alison I",2015-01-01,,4,1,4,188,1972-04-20,,5
220,"Haigh, Richard W",2015-12-27,,1,0,1,179,1965-10-10,,7
221,"Sheldrick, Joseph X",2015-01-01,,8,0,2,180,1979-01-30,,5
222,"Shelley, Jill Q",2015-09-04,,8,1,2,180,1980-10-31,,5
223,"Colley, Brenda A",2015-01-01,,6,1,4,206,1975-04-27,,6
224,"MacMillan, Amanda G",2015-12-14,,9,1,3,146,1970-09-21,,4
225,"Norman, Anna H",2015-01-01,,4,1,2,188,1980-07-10,,5
226,"Devlin, Stuart L",2015-01-01,2017-06-22,1,0,4,179,1970-12-13,,7
227,"Kralj, Ian R",2015-01-01,,2,0,1,161,1968-05-19,,4
228,"Webb, Andrew G",2015-03-04,2018-07-06,6,0,3,206,1973-12-22,,6
229,"Roberts, Angela F",2015-01-01,,10,1,5,209,1972-06-12,,6
230,"Ewart, Ann Y",2015-01-01,,7,1,2,183,1975-03-22,,5
231,"Colley, Selina K",2016-05-29,,4,1,3,188,1980-03-25,,5
232,"Marsden, David A",2015-07-24,2021-06-13,8,0,2,180,1979-02-27,,5
233,"Dawber, Rajesh V",2015-01-01,2016-02-23,10,0,5,209,1981-12-22,,6
234,"Scholes, Sonia G",2015-08-17,2019-03-19,9,1,3,224,1968-02-18,,5
235,"Watt, Christopher K",2015-01-01,,8,0,2,232,1981-01-30,,6
236,"Crompton, Sally S",2016-05-19,2023-10-15,9,1,4,224,1988-12-16,,5
237,"Powell, Daniel H",2016-10-28,,8,0,3,232,1985-10-28,,6
238,"Turner, Julie P",2016-10-24,,1,1,5,179,1977-07-10,,7
239,"Standen, Herbert V",2016-05-19,,7,0,1,183,1976-12-30,,5
240,"Rasul, Dimitrios M",2015-12-26,,2,0,5,161,1969-04-10,,4
241,"Goddard, Gary S",2015-01-01,,9,0,2,224,1977-09-18,,5
242,"King, David C",2015-08-25,,8,0,2,232,1974-03-30,,6
243,"Sheldrick, Nazma V",2015-01-01,2022-08-11,5,1,3,199,1960-01-11,,5
244,"Deering, Clare M",2015-01-01,,1,1,5,238,1981-04-21,,8
245,"Seabrook, Davide I",2015-08-04,,6,0,1,206,1965-08-28,,6
246,"Goddard, Brenda X",2015-07-31,,4,1,5,231,1949-09-06,,6
247,"Primrose, Lisa O",2015-01-01,2023-03-24,6,1,5,206,1972-03-12,,6
248,"Jackson, Carmel X",2015-01-01,,1,1,5,238,1972-01-03,,8
249,"Fleet, Leigh F",2015-01-01,,3,0,1,204,1975-03-17,,5
250,"Hardy, Margaret E",2015-02-19,2017-06-29,2,1,2,240,1968-03-18,,5
251,"Jarvis, John E",2015-01-01,,5,0,5,199,1975-07-12,,5
252,"Gibbs, John V",2015-01-01,,6,0,2,206,1967-04-25,,6
253,"Johnson, William P",2015-09-07,2021-04-24,4,0,5,231,1980-05-23,,6
254,"Lovett, Arthur C",2016-04-19,2020-04-18,7,0,1,239,1967-07-25,,6
255,"Rutherford, Bruno V",2015-01-01,,5,0,1,199,1974-11-03,,5
256,"Primrose, Andree M",2015-11-30,,10,1,1,209,1970-03-14,,6
257,"Goddard, Gordon O",2015-05-09,2018-09-15,4,0,2,231,1980-11-29,,6
258,"Pryde, Simon U",2015-01-01,,2,0,5,240,1986-08-09,,5
259,"Shelley, Frank R",2015-01-01,,1,0,5,238,1970-11-01,,8
260,"Norman, Kathleen A",2015-01-01,,6,1,2,206,1977-07-30,,6
261,"Rasul, Eunice I",2015-01-01,,7,1,2,239,1978-04-16,,6
262,"Shute, Steven K",2015-09-25,,3,0,5,204,1971-06-20,,5
263,"Kenney, Yvonne W",2016-06-11,,6,1,4,260,1962-10-24,,7
264,"Woodbridge, Colin O",2015-01-01,2023-04-21,9,0,5,224,1966-10-16,,5
265,"Parrett, Bevis A",2015-01-01,,6,0,1,260,1974-02-23,,7
266,"Shelley, Leigh D",2015-03-31,2019-06-09,2,0,1,240,1977-08-15,,5
267,"Lamb, Lynnette P",2015-01-01,,5,1,3,199,1982-05-20,,5
268,"Morris, Ann G",2015-01-01,,3,1,1,204,1963-08-14,,5
269,"Polizzi, Tirzah U",2015-05-10,,6,1,4,260,1968-09-17,,7
270,"Mongan, Chi D",2015-02-28,,4,0,4,231,1980-01-04,,6
271,"Sheldrick, Josie Z",2015-09-26,,2,1,3,240,1973-09-14,,5
272,"Kenney, Margaret H",2015-10-01,,2,1,4,240,1973-03-06,,5
273,"Parkes, Colin V",2015-04-12,2017-08-12,10,0,5,256,1955-01-24,,7
274,"Woolley, Christopher N",2015-01-01,,3,0,2,204,1978-09-02,,5
275,"Leyland, Samantha E",2015-01-01,2020-09-12,10,1,1,256,1959-11-27,,7
276,"Hyslop, Darren V",2015-06-19,2021-10-24,10,0,1,256,1958-11-22,,7
277,"Marsden, Tirzah G",2017-06-01,,4,1,1,231,1985-12-23,,6
278,"Watt, Syed M",2015-02-06,,4,0,2,231,1974-12-31,,6
279,"Gore, Tirzah J",2016-08-22,,5,1,2,199,1983-02-08,,5
280,"Hardy, Daniel Z",2016-02-07,,1,0,4,238,1963-11-27,,8
281,"Lovett, Simon F",2015-01-01,,10,0,4,256,1978-05-02,,7
282,"Jackson, Bruno D",2016-02-01,,9,0,4,224,1970-02-14,,5
283,"Dawber, Bevis R",2015-11-13,,9,0,1,224,1975-04-11,,5
284,"Ewart, Andree Y",2017-03-16,,9,1,1,283,1980-03-01,,6
285,"Lovett, Julie X",2015-04-23,2020-04-12,3,1,4,204,1976-02-13,,5
286,"Devlin, Shane S",2016-08-12,,4,0,3,278,1954-03-20,,7
287,"Polizzi, Peter H",2015-07-29,2021-05-27,7,0,2,239,1970-05-27,,6
288,"Swart, Giulio W",2015-07-11,,8,0,1,232,1977-12-07,,6
289,"Kenney, Darren M",2015-01-01,,7,0,2,239,1976-01-09,,6
290,"Gilroy, Richard H",2015-01-01,2018-10-28,1,0,3,238,1981-06-14,,8
291,"Rawson, Kay I",2015-01-01,,3,1,3,285,1968-04-13,,6
292,"Housley, Giulio X",2015-06-02,2022-09-15,3,0,5,285,1961-04-10,,6
293,"Ewart, Venetia B",2015-10-01,2016-05-14,6,1,5,260,1980-08-13,,7
294,"Massie, Diana B",2015-01-01,,6,1,2,260,1974-09-22,,7
295,"Goddard, Peter Z",2015-01-01,,1,0,1,238,1971-03-24,,8
296,"Kenney, John F",2015-01-26,,7,0,1,239,1962-03-12,,6
297,"Primrose, Ann V",2015-01-01,,5,1,2,199,1945-03-26,,5
298,"Stevenson, Bevis E",2015-01-01,,3,0,1,285,1969-06-11,,6
299,"Lloyd, Lisa K",2015-01-01,2022-05-18,5,1,4,297,1978-07-29,,6
300,"Brant, Elsie Y",2016-09-10,2018-02-22,4,1,2,278,1981-07-26,,7
301,"Shute, Joanna Y",2015-07-12,2020-09-28,6,1,5,260,1975-12-27,,7
302,"Goddard, Simon U",2015-01-01,,5,0,5,297,1965-07-21,,6
303,"Haigh, Clare T",2015-01-01,2018-09-19,10,1,5,256,1964-04-19,,7
304,"Crompton, Anne G",2015-04-02,,9,1,1,283,1986-09-04,,6
305,"Mistry, Nicholas N",2015-01-01,2023-04-04,5,0,2,297,1968-10-01,,6
306,"McCarthy, Adele C",2015-11-05,,6,1,4,301,1966-04-25,,8
307,"Norman, Martin E",2015-01-01,,9,0,5,283,1987-05-17,,6
308,"Mongan, Anna H",2015-01-01,,6,1,5,301,1979-12-24,,8
309,"Rawson, Jonathan U",2015-05-24,2017-09-26,4,0,1,278,1969-06-17,,7
310,"Nielson, Edward E",2015-01-01,,1,0,3,295,1970-02-28,,9
311,"Jarvis, William U",2015-01-01,2019-09-02,6,0,4,301,1989-02-04,,8
312,"Gorton, Julie G",2015-01-01,,8,1,1,232,1965-06-02,,6
313,"Gore, Gwendolyn V",2015-01-01,2023-06-16,10,1,4,256,1977-01-19,,7
314,"King, Nicholas G",2015-01-01,2019-04-03,4,0,3,278,1978-06-11,,7
315,"Kralj, Herbert V",2015-07-08,,5,0,2,297,1969-01-29,,6
316,"Deering, Nicola F",2015-01-01,2021-07-09,9,1,4,283,1970-11-17,,6
317,"Collingwood, Bevis W",2016-03-02,2021-07-07,4,0,3,278,1968-02-24,,7
318,"Simpson, Carmel L",2016-03-06,,8,1,3,232,1966-05-18,,6
319,"Rawson, Janet J",2015-05-27,,1,1,4,295,1990-11-05,,9
320,"Coppin, Sonia K",2015-01-01,,5,1,4,297,1967-10-08,,6
321,"Colley, Tracey A",2015-01-01,2016-06-19,3,1,2,285,1966-07-09,,6
322,"Shearer, Martin X",2015-01-01,2019-07-12,8,0,5,318,1989-11-10,,7
323,"Dawber, Leslie Q",2015-03-10,,8,0,2,318,1995-03-15,,7
324,"Channing, Jane Z",2015-01-01,,8,1,5,318,1986-12-15,,7
325,"Devlin, Anne L",2015-05-01,,8,1,3,318,1977-03-04,,7
326,"Gadd, Morag V",2015-01-01,,8,1,1,318,1993-11-12,,7
327,"Nielson, Julie T",2015-01-01,,9,1,3,283,1973-09-02,,6
328,"Swart, Joanna A",2015-09-29,2016-05-18,3,1,5,285,1971-02-04,,6
329,"Gibbs, Paul H",2015-01-01,,6,0,4,301,1971-08-10,,8
330,"Woodbridge, Catherine I",2017-06-03,,1,1,5,295,1972-07-14,,9
331,"Barrett, Angela W",2016-05-11,2023-06-20,8,1,1,318,1972-02-29,,7
332,"McCarthy, Leslie U",2015-01-01,,4,0,1,278,1976-11-20,,7
333,"Fleet, Joanna S",2015-01-01,,9,1,2,283,1977-10-31,,6
